name,price,km_driven,fuel_type,transmission,location,url
2016 Ford Ecosport 1.5 TDCi Titanium BSIV,₹4.10 Lakh,"1,00,000 kms",Diesel,Manual,Korba,https://www.cardekho.com/used-car-details/used-Ford-ecosport-15-tdci-titanium-bsiv-cars-Korba_3b9a0a52-00d7-4231-ae5e-333facd5783c.htm
2014 Honda City i DTEC SV,₹3.20 Lakh,"90,000 kms",Diesel,Manual,"Belhatthi, Renukoot",https://www.cardekho.com/used-car-details/used-Honda-city-i-dtec-sv-cars-Renukoot_1ccfd87c-f482-470e-94ae-e6be4fe2f48d.htm
2017 Maruti Suzuki Vitara Brezza VDi Option,₹4.60 Lakh,"80,000 kms",Diesel,Manual,Korba,https://www.cardekho.com/used-car-details/used-Maruti-vitara-brezza-vdi-option-cars-Korba_08e801ed-cc94-454a-b99e-e4ac6a462780.htm
2018 Hyundai Creta 1.6 E Plus,₹5.50 Lakh,"1,15,000 kms",Petrol,Manual,"Rampur, Korba",https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-e-plus-cars-Korba_9acdad91-5593-4ba2-9c50-5e9c2495d4aa.htm
2016 Hyundai Verna 1.4 CRDi,₹5.50 Lakh,"73,000 kms",Diesel,Manual,"Tali Road, Waidhan",https://www.cardekho.com/used-car-details/used-Hyundai-verna-14-crdi-cars-Waidhan_d00af85c-d350-4098-a788-0dec184ec98c.htm
2019 Maruti Suzuki Swift VXI BSIV,₹4 Lakh,"1,33,426 kms",Petrol,Manual,Korba,https://www.cardekho.com/used-car-details/used-Maruti-swift-vxi-bsiv-cars-Korba_5d29d0c1-5998-470e-844d-9bf1a4ba770d.htm
2024 Mahindra XUV700 AX5 5Str Diesel,₹20.50 Lakh,"30,000 kms",Diesel,Manual,Korba,https://www.cardekho.com/used-car-details/used-Mahindra-xuv700-ax5-5str-diesel-cars-Korba_2b7c67cf-afc4-486c-a808-e51dfc1ed680.htm
2016 Maruti Suzuki Ciaz ZDi Plus SHVS,₹4.30 Lakh,"1,20,000 kms",Diesel,Manual,"Balco Nagar, Korba",https://www.cardekho.com/used-car-details/used-Maruti-ciaz-zdi-plus-shvs-cars-Korba_635f7907-17bd-4d14-baea-9ad6a2e39dff.htm
2026 Mahindra Bolero B6,₹1 Lakh,"4,000 kms",Diesel,Manual,Sonbhadra,https://www.cardekho.com/used-car-details/used-Mahindra-bolero-b6-cars-Sonbhadra_a79b1fe6-2305-41f1-ad8b-49db823591cf.htm
2013 Mahindra Bolero SLX,₹3.80 Lakh,"1,00,000 kms",Diesel,Manual,Sonbhadra,https://www.cardekho.com/used-car-details/used-Mahindra-bolero-slx-cars-Sonbhadra_08a14c3e-8af7-40cd-98ce-7aa808242c80.htm
2013 Mahindra Bolero SLX,₹3.86 Lakh,"1,00,000 kms",Diesel,Manual,Sonbhadra,https://www.cardekho.com/used-car-details/used-Mahindra-bolero-slx-cars-Sonbhadra_85a109cd-04c8-4d61-889c-78a69de7c81a.htm
2015 Hyundai Creta 1.6 VTVT SX Plus,₹5.50 Lakh,"35,000 kms",Petrol,Manual,Raigarh,https://www.cardekho.com/used-car-details/used-Hyundai-creta-16-vtvt-sx-plus-cars-Raigarh_979ab5ed-3680-4882-bb51-41b277c7be43.htm
2012 Maruti Suzuki Alto 800 LXI,"₹75,000","1,32,000 kms",Petrol,Manual,Korba,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Korba_551abd3e-3f17-418a-a81b-561bf7a8538d.htm
2017 Renault Duster 85PS Diesel RxE,₹4.50 Lakh,"1,50,000 kms",Diesel,Manual,Raigarh,https://www.cardekho.com/used-car-details/used-Renault-duster-85ps-diesel-rxe-cars-Raigarh_08117088-1b74-49c8-aba0-48404d924264.htm
2021 Tata Safari XZ BSVI,₹15 Lakh,"83,000 kms",Diesel,Manual,Manendragarh,https://www.cardekho.com/used-car-details/used-Tata-safari-xz-bsvi-cars-Manendragarh_ce42c51f-0d04-4cfc-9a18-1cd6147b6fc9.htm
2019 Renault KWID RXL,₹2 Lakh,"80,000 kms",Petrol,Manual,Korba,https://www.cardekho.com/used-car-details/used-Renault-kwid-rxl-cars-Korba_c0e36aa0-9e82-4f74-b488-6651a4fab105.htm
2015 Toyota Innova 2.5 G (Diesel) 8 Seater,₹7.50 Lakh,"70,000 kms",Diesel,Manual,"Barpali, Korba",https://www.cardekho.com/used-car-details/used-Toyota-innova-25-g-diesel-8-seater-cars-Korba_0bc1d15c-3309-4b2a-b188-c3b8428ef8f5.htm
2020 Maruti Suzuki S-Presso VXI 2019-2022,₹4.20 Lakh,"15,000 kms",Petrol,Manual,Singrauli,https://www.cardekho.com/used-car-details/used-Maruti-s-presso-vxi-2019-2022-cars-Singrauli_1fbd48fb-be0c-4f6f-9e43-4eb8bc18840f.htm
2020 Maruti Suzuki S-Presso VXI Opt 2019-2022,₹4.30 Lakh,"14,000 kms",Petrol,Manual,Singrauli,https://www.cardekho.com/used-car-details/used-Maruti-s-presso-vxi-opt-2019-2022-cars-Singrauli_3c76143b-c0d6-4877-bb7f-46fe35999371.htm
2008 Maruti Suzuki Alto 800 LXi,₹1.10 Lakh,"53,000 kms",Petrol,Manual,Janjgir-Champa,https://www.cardekho.com/used-car-details/used-Maruti-alto-800-lxi-cars-Janjgir-Champa_08538830-3669-4b28-b73b-31aecceb73b1.htm
